date,kwh
2026-04-01,15.6000
2026-04-02,8.8000
2026-04-03,14.9000
2026-04-04,14.2000
2026-04-05,15.4000
2026-04-06,12.9000
2026-04-07,15.1000
2026-04-08,12.7000
2026-04-09,14.3000
2026-04-10,3.4000
2026-04-11,0.0000
2026-04-12,0.0000
2026-04-13,0.0000
2026-04-14,0.0000
2026-04-15,0.0000
2026-04-16,0.0000
2026-04-17,0.0000
2026-04-18,0.0000
2026-04-19,0.0000
2026-04-20,0.0000
2026-04-21,0.0000
2026-04-22,0.0000
2026-04-23,0.0000
2026-04-24,0.0000
2026-04-25,0.0000
2026-04-26,0.0000
2026-04-27,0.0000
2026-04-28,0.0000
2026-04-29,0.0000
2026-04-30,0.0000
