date,kwh
2026-06-01,7.8000
2026-06-02,7.3000
2026-06-03,7.4000
2026-06-04,8.0000
2026-06-05,7.1000
2026-06-06,7.8000
2026-06-07,7.5000
2026-06-08,7.5000
2026-06-09,7.7000
2026-06-10,7.3000
2026-06-11,7.4000
2026-06-12,6.5000
2026-06-13,7.4000
2026-06-14,0.0000
2026-06-15,0.0000
2026-06-16,0.0000
2026-06-17,0.0000
2026-06-18,0.0000
2026-06-19,0.0000
2026-06-20,0.0000
2026-06-21,0.0000
2026-06-22,0.0000
2026-06-23,0.0000
2026-06-24,0.0000
2026-06-25,0.0000
2026-06-26,0.0000
2026-06-27,0.0000
2026-06-28,0.0000
2026-06-29,0.0000
2026-06-30,0.0000
