date,kwh
2026-05-01,15.7000
2026-05-02,11.4000
2026-05-03,14.2000
2026-05-04,12.0000
2026-05-05,12.0000
2026-05-06,13.9000
2026-05-07,14.2000
2026-05-08,9.5000
2026-05-09,11.0000
2026-05-10,10.9000
2026-05-11,6.6000
2026-05-12,8.7000
2026-05-13,5.1000
2026-05-14,2.3000
2026-05-15,10.6000
2026-05-16,9.0000
2026-05-17,12.6000
2026-05-18,10.8000
2026-05-19,11.7000
2026-05-20,10.9000
2026-05-21,12.8000
2026-05-22,0.0000
2026-05-23,11.0000
2026-05-24,10.4000
2026-05-25,10.4000
2026-05-26,12.9000
2026-05-27,10.9000
2026-05-28,13.0000
2026-05-29,11.4000
2026-05-30,15.0000
2026-05-31,11.3000
